[2023-08-08 05:51:25.953614] ID: 1909812069; ADMIN: True; USER_NAME: Dev_masha; command: /DB
[2023-08-08 05:52:08.639421] ID: 1909812069; ADMIN: True; USER_NAME: Dev_masha; command: /sch
[2023-08-08 05:52:43.157666] ID: 1909812069; ADMIN: True; USER_NAME: Dev_masha; command: /start
[2023-08-08 05:52:52.535014] ID: 1909812069; ADMIN: True; USER_NAME: Dev_masha; callback: main_menu
[2023-08-08 05:52:55.885796] ID: 1909812069; ADMIN: True; USER_NAME: Dev_masha; callback: uch_mat_03
[2023-08-08 05:52:57.834879] ID: 1909812069; ADMIN: True; USER_NAME: Dev_masha; callback: cal_sem_03
[2023-08-08 05:52:59.789886] ID: 1909812069; ADMIN: True; USER_NAME: Dev_masha; callback: uch_mat_03
[2023-08-08 05:53:07.704846] ID: 1909812069; ADMIN: True; USER_NAME: Dev_masha; callback: main_menu
[2023-08-08 08:32:31.935951] ID: 641529661; ADMIN: False; USER_NAME: akrrrrr; command: /reg
[2023-08-08 08:38:42.266251] ID: 896148776; ADMIN: False; USER_NAME: youngboyforever; command: /reg
[2023-08-08 10:39:07.699827] ID: 561008276; ADMIN: False; USER_NAME: Krutovalexey; command: /start
[2023-08-08 10:39:18.034721] ID: 561008276; ADMIN: False; USER_NAME: Krutovalexey; command: /reg
[2023-08-08 11:22:57.720261] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: ad_hw_back
[2023-08-08 11:23:04.838498] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: rg_accept_ID:641529661_NM:андрейй_UN:akrrrrr
[2023-08-08 11:23:13.539715] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: rg_accept_ID:896148776_NM:- /_UN:youngboyforever
[2023-08-08 11:23:22.138009] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: rg_accept_ID:561008276_NM:Крутов_UN:Krutovalexey
[2023-08-08 11:23:46.700037] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; command: /db all
